,userId,Recommendation
0,238710,"[(858, 3.8766822814941406), (1291, 3.56154465675354), (1263, 3.56154465675354), (3114, 3.56154465675354), (1303, 3.56154465675354), (2872, 3.547306776046753), (3702, 3.510105609893799), (1395, 3.5063748359680176), (1840, 3.501774311065674), (5299, 3.498115062713623)]"
1,193326,"[(53123, 3.56154465675354), (55805, 3.56154465675354), (106782, 3.56154465675354), (103341, 3.56154465675354), (7254, 3.56154465675354), (60161, 3.5273752212524414), (4975, 3.4628641605377197), (597, 3.4585485458374023), (105213, 3.371774673461914), (3285, 3.289506196975708)]"
2,136171,"[(1233, 3.1402385234832764), (7215, 3.0847740173339844), (6808, 3.0749244689941406), (3296, 3.0343353748321533), (6663, 2.9673850536346436), (46578, 2.959566831588745), (63876, 2.9431731700897217), (82459, 2.930656909942627), (16, 2.9065723419189453), (3654, 2.8516087532043457)]"
3,139371,"[(8827, 3.9772138595581055), (924, 3.898625612258911), (32, 3.8364195823669434), (1968, 3.6787526607513428), (3252, 3.55540132522583), (229, 3.481919527053833), (1127, 3.454460382461548), (2081, 3.363097667694092), (2005, 3.3538074493408203), (1129, 3.283642053604126)]"
4,141729,"[(1250, 3.739030599594116), (1256, 3.6442737579345703), (87234, 3.56154465675354), (6787, 3.56154465675354), (1387, 3.56154465675354), (46578, 3.56154465675354), (924, 3.56154465675354), (4901, 3.56154465675354), (2918, 3.56154465675354), (59369, 3.56154465675354)]"
5,245693,"[(1250, 3.9502460956573486), (1233, 3.915426254272461), (36, 3.711170196533203), (3105, 3.56154465675354), (1127, 3.549131393432617), (5299, 3.4065840244293213), (597, 3.3935976028442383), (1372, 3.3731839656829834), (3301, 3.3683106899261475), (7373, 3.309610366821289)]"
6,277730,"[(3435, 4.264086723327637), (48516, 4.180570125579834), (1104, 4.088549613952637), (2940, 4.076027870178223), (924, 4.068423748016357), (1291, 4.065889835357666), (109487, 4.035789489746094), (1270, 4.030637741088867), (32898, 3.974039316177368), (3545, 3.9665496349334717)]"
7,129937,"[(2010, 4.142749309539795), (2997, 4.033951759338379), (968, 3.6353514194488525), (1321, 3.5594263076782227), (2312, 3.5172088146209717), (2797, 3.4024155139923096), (2665, 3.1055026054382324), (3699, 3.1026954650878906), (2407, 3.0842370986938477), (1375, 3.027614116668701)]"
8,277068,"[(858, 4.294458389282227), (1217, 4.097009181976318), (1276, 4.091882705688477), (1945, 4.087663650512695), (48516, 4.071331977844238), (923, 4.049975872039795), (7981, 4.0046586990356445), (1291, 3.955315351486206), (556, 3.9498820304870605), (114028, 3.943169355392456)]"
9,95876,"[(858, 4.002117156982422), (32, 3.5289785861968994), (2997, 3.5031471252441406), (1291, 3.471259117126465), (1270, 3.411951780319214), (4225, 3.2654762268066406), (2390, 3.2039875984191895), (3526, 3.1538803577423096), (6218, 3.0986058712005615), (30822, 3.0678696632385254)]"
10,239,"[(1089, 3.5538384914398193), (501, 3.542097806930542), (3088, 3.5005950927734375), (923, 3.488466501235962), (1263, 3.48417592048645), (3819, 3.443016767501831), (3037, 3.4262940883636475), (2917, 3.401866912841797), (2580, 3.3017232418060303), (1968, 3.2935707569122314)]"
11,229361,"[(3435, 3.9059548377990723), (1217, 3.821240186691284), (1089, 3.789266586303711), (2300, 3.5617668628692627), (1243, 3.56154465675354), (7486, 3.5551607608795166), (2917, 3.551220655441284), (1358, 3.5397820472717285), (2333, 3.5234997272491455), (6283, 3.5116395950317383)]"
12,275825,"[(1233, 3.8278727531433105), (32, 3.561833143234253), (2918, 3.4831666946411133), (2797, 3.293394088745117), (253, 3.2251129150390625), (353, 3.1615235805511475), (2985, 3.099809408187866), (1372, 3.041083812713623), (597, 3.0022966861724854), (832, 2.9701085090637207)]"
13,40716,"[(2997, 3.7308738231658936), (32, 3.7077860832214355), (535, 3.5758519172668457), (1387, 3.536163806915283), (4216, 3.3980231285095215), (728, 3.396209239959717), (79702, 3.343306303024292), (2390, 3.3105151653289795), (1959, 3.285473346710205), (3072, 3.2755661010742188)]"
14,21291,"[(1233, 4.689799785614014), (7981, 4.639927387237549), (1291, 4.618649959564209), (3504, 4.607156276702881), (7486, 4.569787979125977), (44694, 4.558618068695068), (8873, 4.525692939758301), (4103, 4.517884254455566), (3252, 4.4804863929748535), (6645, 4.37662410736084)]"
15,193284,"[(858, 4.448840141296387), (923, 4.247241497039795), (954, 4.216498374938965), (1270, 4.141120910644531), (2804, 4.134091854095459), (1103, 4.042396545410156), (2333, 4.039140701293945), (1073, 3.9136617183685303), (2580, 3.8996875286102295), (3105, 3.8712704181671143)]"
16,52389,"[(1089, 3.926701784133911), (923, 3.908236026763916), (8827, 3.880220890045166), (556, 3.7982635498046875), (32, 3.730947971343994), (508, 3.595604419708252), (1653, 3.545815944671631), (1968, 3.5204122066497803), (7254, 3.439896821975708), (4799, 3.3458445072174072)]"
17,242337,"[(858, 4.215524196624756), (3435, 4.073439598083496), (1256, 3.984844207763672), (48516, 3.9741837978363037), (3334, 3.7873222827911377), (46578, 3.7232093811035156), (5325, 3.5685653686523438), (1073, 3.566103935241699), (2580, 3.56154465675354), (6755, 3.478569746017456)]"
18,240274,"[(541, 3.4862639904022217), (4973, 3.4783337116241455), (6783, 3.457491874694824), (4432, 3.4369592666625977), (2010, 3.4199695587158203), (4848, 3.4079177379608154), (2997, 3.3918728828430176), (2940, 3.38666033744812), (6808, 3.363401174545288), (954, 3.3543100357055664)]"
19,53258,"[(858, 4.074582576751709), (1270, 3.6303839683532715), (85179, 3.56154465675354), (74458, 3.56154465675354), (106782, 3.56154465675354), (1394, 3.56154465675354), (122882, 3.56154465675354), (63082, 3.56154465675354), (1653, 3.56154465675354), (115617, 3.56101655960083)]"
20,210928,"[(3307, 4.259718894958496), (1244, 4.137262344360352), (32, 4.031041145324707), (3098, 3.9867916107177734), (1387, 3.95725154876709), (1394, 3.9402122497558594), (1968, 3.918712615966797), (4881, 3.855112075805664), (523, 3.793733596801758), (2081, 3.6975858211517334)]"
21,119963,"[(3307, 4.371370315551758), (954, 4.269829750061035), (3741, 4.228481292724609), (1291, 4.22359037399292), (1270, 4.1984758377075195), (2997, 4.190377235412598), (3671, 4.165194034576416), (1834, 4.137887001037598), (1103, 4.104723930358887), (5643, 4.082845211029053)]"
22,71387,"[(1104, 4.383296012878418), (1270, 4.351997375488281), (2997, 4.345175743103027), (3545, 4.342103958129883), (1935, 4.2758941650390625), (1387, 4.271755218505859), (1968, 4.242292404174805), (2312, 4.138177871704102), (3105, 4.132619380950928), (3812, 4.046100616455078)]"
23,167015,"[(48516, 4.467270851135254), (1089, 4.46431827545166), (134853, 4.400392055511475), (4848, 4.244411468505859), (168252, 4.224867820739746), (148671, 4.209802627563477), (122916, 4.201630592346191), (60161, 4.144885063171387), (54995, 4.107183456420898), (53519, 4.090155601501465)]"
