,userId,Recommendation
0,192204,"[(19, 3.274809658077717), (104, 3.274809658077717), (305, 3.274809658077717), (312, 3.274809658077717), (344, 3.274809658077717), (413, 3.274809658077717), (419, 3.274809658077717), (514, 3.274809658077717), (626, 3.274809658077717), (700, 3.274809658077717)]"
1,106028,"[(5437, 3.0181363277864626), (96655, 2.994093507013875), (256, 2.987223818035083), (435, 2.987223818035083), (671, 2.987223818035083), (2407, 2.987223818035083), (19, 2.8194671231094333), (104, 2.8194671231094333), (305, 2.8194671231094333), (312, 2.8194671231094333)]"
2,57185,"[(1127, 3.9167992851047346), (1129, 3.9167992851047346), (1374, 3.9167992851047346), (5349, 3.9167992851047346), (8644, 3.9167992851047346), (34048, 3.9167992851047346), (61248, 3.9167992851047346), (70336, 3.9167992851047346), (120799, 3.9167992851047346), (122882, 3.9167992851047346)]"
3,281856,"[(44, 3.4448907140952736), (393, 3.4448907140952736), (3153, 3.4448907140952736), (4915, 3.4448907140952736), (106491, 3.4448907140952736), (122890, 3.4448907140952736), (143355, 3.4448907140952736), (704, 3.4028351886938624), (809, 3.4028351886938624), (1291, 3.4028351886938624)]"
4,134816,"[(322, 4.093967012499448), (516, 4.093967012499448), (574, 4.093967012499448), (1243, 4.093967012499448), (1300, 4.093967012499448), (1395, 4.093967012499448), (1446, 4.093967012499448), (1699, 4.093967012499448), (1794, 4.093967012499448), (1816, 4.093967012499448)]"
5,128200,"[(5064, 2.8738831124225497), (43, 2.821281560852051), (57, 2.821281560852051), (121, 2.821281560852051), (261, 2.821281560852051), (354, 2.821281560852051), (365, 2.821281560852051), (452, 2.821281560852051), (501, 2.821281560852051), (508, 2.821281560852051)]"
6,4909,"[(1217, 3.5415662772197996), (1263, 3.5415662772197996), (2075, 3.5415662772197996), (3053, 3.5415662772197996), (3091, 3.5415662772197996), (4967, 3.5415662772197996), (7303, 3.5415662772197996), (31116, 3.5415662772197996), (40414, 3.5415662772197996), (946, 3.484258790761698)]"
7,157174,"[(252, 3.6376455487331776), (597, 3.6376455487331776), (947, 3.6376455487331776), (955, 3.6376455487331776), (1569, 3.6376455487331776), (1593, 3.6376455487331776), (2259, 3.6376455487331776), (2482, 3.6376455487331776), (2491, 3.6376455487331776), (2581, 3.6376455487331776)]"
8,41178,"[(43, 3.8288555596536673), (57, 3.8288555596536673), (121, 3.8288555596536673), (261, 3.8288555596536673), (354, 3.8288555596536673), (365, 3.8288555596536673), (452, 3.8288555596536673), (501, 3.8288555596536673), (508, 3.8288555596536673), (523, 3.8288555596536673)]"
9,44927,"[(19, 3.4944792690126047), (104, 3.4944792690126047), (305, 3.4944792690126047), (312, 3.4944792690126047), (344, 3.4944792690126047), (413, 3.4944792690126047), (419, 3.4944792690126047), (514, 3.4944792690126047), (626, 3.4944792690126047), (700, 3.4944792690126047)]"
